stockCode,stockName
079900,전진건설로봇
123330,제닉
079370,제우스
054950,제이브이엠
194370,제이에스코퍼레이션
030000,제일기획
199820,제일일렉트릭
089590,제주항공
337930,젝시믹스
185750,종근당
036930,주성엔지니어링
263860,지니언스
382800,지앤비에스 에코
119850,지엔씨에너지
071320,지역난방공사
311320,지오엘리먼트
388050,지투파워
036890,진성티이씨
272450,진에어
094360,칩스앤미디어
035720,카카오
323410,카카오뱅크
042000,카페24
281820,케이씨텍
093320,케이아이엔엑스
053080,케이엔솔
381970,케이카
080530,코디
123410,코리아에프티
003690,코리안리
183300,코미코
192820,코스맥스
241710,코스메카코리아
005070,코스모신소재
138490,코오롱ENP
003070,코오롱글로벌
120110,코오롱인더
021240,코웨이
282880,코윈테크
200130,콜마비앤에이치
294570,쿠콘
192400,쿠쿠홀딩스
182360,큐브엔터
264900,크라운제과
259960,크래프톤
214150,클래시스
237880,클리오
039490,키움증권
044490,태웅
095610,테스
214420,토니모리
051360,토비스
417790,트루엔
064760,티씨케이
340570,티앤엘
131290,티에스이
356860,티엘비
425040,티이엠씨
034230,파라다이스
214450,파마리서치
005690,파미셀
140860,파크시스템스
091700,파트론
028670,팬오션
263750,펄어비스
251970,펌텍코리아
058430,포스코스틸리온
047050,포스코인터내셔널
017810,풀무원
103140,풍산
005810,풍산홀딩스
370090,퓨런티어
053610,프로텍
319660,피에스케이
031980,피에스케이홀딩스
043370,피에이치에이
239890,피엔에이치테크
163730,핑거
086790,하나금융지주
166090,하나머티리얼즈
293480,하나제약
039130,하나투어
003380,하림지주
352820,하이브
000080,하이트진로
036460,한국가스공사
071050,한국금융지주
025540,한국단자
004090,한국석유
000240,한국앤컴퍼니
123890,한국자산신탁
015760,한국전력
104700,한국철강
017960,한국카본
161890,한국콜마
161390,한국타이어앤테크놀로지
047810,한국항공우주
030520,한글과컴퓨터
053690,한미글로벌
042700,한미반도체
128940,한미약품
009240,한샘
020000,한섬
105630,한세실업
114810,한솔아이원스
014680,한솔케미칼
004150,한솔홀딩스
300720,한일시멘트
051600,한전KPS
052690,한전기술
372910,한컴라이프케어
000880,한화
088350,한화생명
000370,한화손해보험
272210,한화시스템
012450,한화에어로스페이스
082740,한화엔진
042660,한화오션
195870,해성디에스
214180,헥토이노베이션
234340,헥토파이낸셜
453340,현대그린푸드
086280,현대글로비스
064350,현대로템
079430,현대리바트
012330,현대모비스
319400,현대무벡스
017800,현대엘리베이터
307950,현대오토에버
011210,현대위아
005440,현대지에프홀딩스
005380,현대차
011760,현대코퍼레이션
001450,현대해상
057050,현대홈쇼핑
460930,현대힘스
241590,화승엔터프라이즈
010690,화신
004800,효성
298040,효성중공업
298020,효성티앤씨
200670,휴메딕스
145020,휴젤
